appid,game_name,filename,status,source_title,source_url,match_score,extract_chars,extract_words
1000030,1000030_2098,"1000030_Cook, Serve, Delicious! 3_!.txt",all,1000030_2098,,,,
1000360,1000360_6765,1000360_Hellish Quart.txt,all,1000360_6765,,,,
1000410,1000410_2404,1000410_WRATH - Aeon of Ruin.txt,all,1000410_2404,,,,
1003590,1003590_7381,1003590_Tetris Effect - Connected.txt,all,1003590_7381,,,,
1016950,1016950_4196,1016950_Blood Bowl 3.txt,all,1016950_4196,,,,
1029690,1029690_19693,1029690_Sniper Elite 5.txt,all,1029690_19693,,,,
1029780,1029780_17642,1029780_Going Medieval.txt,all,1029780_17642,,,,
1030210,1030210_11120,1030210_Torchlight III.txt,all,1030210_11120,,,,
1030830,1030830_26263,1030830_Mafia II - Definitive Edition.txt,all,1030830_26263,,,,
1030840,1030840_80583,1030840_Mafia - Definitive Edition.txt,all,1030840_80583,,,,
1034140,1034140_19644,1034140_Subverse.txt,all,1034140_19644,,,,
1035120,1035120_4085,1035120_Lust from Beyond.txt,all,1035120_4085,,,,
1040070,1040070_2071,1040070_Merchant of the Skies.txt,all,1040070_2071,,,,
1041720,1041720_6700,1041720_Kingdoms of Amalur - Re-Reckoning.txt,all,1041720_6700,,,,
1041920,1041920_1898,1041920_If Found.txt,all,1041920_1898,,,,
1042490,1042490_4762,1042490_Call of the Sea.txt,all,1042490_4762,,,,
1043810,1043810_6382,1043810_Tactical Breach Wizards.txt,all,1043810_6382,,,,
1045720,1045720_3045,1045720_The Coma 2 - Vicious Sisters.txt,all,1045720_3045,,,,
1049410,1049410_23830,1049410_Superliminal.txt,all,1049410_23830,,,,
1049590,1049590_61216,1049590_Eternal Return.txt,all,1049590_61216,,,,
1049890,1049890_11254,1049890_Little Witch Nobeta.txt,all,1049890_11254,,,,
1054490,1054490_9630,1054490_Wingspan.txt,all,1054490_9630,,,,
1056640,1056640_23530,1056640_Phantasy Star Online 2 New Genesis.txt,all,1056640_23530,,,,
1057090,1057090_26450,1057090_Ori and the Will of the Wisps.txt,all,1057090_26450,,,,
1057750,1057750_6138,1057750_The Suicide of Rachel Foster.txt,all,1057750_6138,,,,
1060230,1060230_1945,1060230_Sapiens.txt,all,1060230_1945,,,,
1061910,1061910_14713,1061910_Metal - Hellsinger.txt,all,1061910_14713,,,,
1062110,1062110_1737,1062110_UNSIGHTED.txt,all,1062110_1737,,,,
1062520,1062520_16450,1062520_Dinkum.txt,all,1062520_16450,,,,
1062810,1062810_3287,1062810_Inkbound.txt,all,1062810_3287,,,,
1063420,1063420_3769,1063420_Void Crew.txt,all,1063420_3769,,,,
1063660,1063660_11863,1063660_Bendy and the Dark Revival.txt,all,1063660_11863,,,,
1063730,1063730_82978,1063730_New World - Aeternum.txt,all,1063730_82978,,,,
1065310,1065310_9049,1065310_Evil West.txt,all,1065310_9049,,,,
1066890,1066890_9246,1066890_Automobilista 2.txt,all,1066890_9246,,,,
1067540,1067540_2680,1067540_Röki.txt,all,1067540_2680,,,,
1069530,1069530_1521,1069530_Narita Boy.txt,all,1069530_1521,,,,
1069640,1069640_4384,1069640_This Land Is My Land.txt,all,1069640_4384,,,,
1072040,1072040_3577,1072040_Panzer Corps 2.txt,all,1072040_3577,,,,
1073910,1073910_1574,1073910_Before We Leave.txt,all,1073910_1574,,,,
1076200,1076200_3680,1076200_Roguebook.txt,all,1076200_3680,,,,
1082430,1082430_15462,1082430_Before Your Eyes.txt,all,1082430_15462,,,,
1082680,1082680_1072,1082680_The Walking Dead Onslaught.txt,all,1082680_1072,,,,
1084160,1084160_11858,1084160_Jagged Alliance 3.txt,all,1084160_11858,,,,
1084600,1084600_24871,1084600_My Time at Sandrock.txt,all,1084600_24871,,,,
1084640,1084640_2165,1084640_Chicken Police - Paint it RED!.txt,all,1084640_2165,,,,
1086940,1086940_51540,1086940_Baldur's Gate 3.txt,all,1086940_51540,,,,
1087760,1087760_2041,1087760_The Gunk.txt,all,1087760_2041,,,,
1088790,1088790_2820,1088790_Rebel Inc - Escalation.txt,all,1088790_2820,,,,
1088850,1088850_4860,1088850_Marvel's Guardians of the Galaxy.txt,all,1088850_4860,,,,
1090630,1090630_8516,1090630_Granblue Fantasy - Versus.txt,all,1090630_8516,,,,
1091500,1091500_26290,1091500_Cyberpunk 2077.txt,all,1091500_26290,,,,
1092790,1092790_122929,1092790_Inscryption.txt,all,1092790_122929,,,,
1094520,1094520_22432,1094520_Sands of Salzaar.txt,all,1094520_22432,,,,
1097130,1097130_2125,1097130_Circuit Superstars.txt,all,1097130_2125,,,,
1097150,1097150_92230,1097150_Fall Guys.txt,all,1097150_92230,,,,
1097200,1097200_7136,1097200_Twelve Minutes.txt,all,1097200_7136,,,,
1100410,1100410_2189,1100410_Commandos 2 - HD Remaster.txt,all,1100410_2189,,,,
1101190,1101190_4659,1101190_Dungeon Defenders - Awakened.txt,all,1101190_4659,,,,
1102190,1102190_20493,1102190_Monster Train.txt,all,1102190_20493,,,,
1104380,1104380_3590,1104380_The Room VR - A Dark Matter.txt,all,1104380_3590,,,,
1105670,1105670_10791,1105670_The Last Spell.txt,all,1105670_10791,,,,
1107790,1107790_3157,1107790_The Complex.txt,all,1107790_3157,,,,
