appid,game_name,filename,status,source_title,source_url,match_score,extract_chars,extract_words
1000030,"Cook, Serve, Delicious! 3?!","1000030_Cook, Serve, Delicious! 3_!.txt",existing,,,,4295,722
1000360,Hellish Quart,1000360_Hellish Quart.txt,existing,,,,818,136
1000410,WRATH: Aeon of Ruin,1000410_WRATH - Aeon of Ruin.txt,existing,,,,8468,1388
1001270,Kebab Chefs! - Restaurant Simulator,,no_match,,,,0,0
1003590,Tetris Effect: Connected,1003590_Tetris Effect - Connected.txt,existing,,,,6524,1086
1009290,SWORD ART ONLINE Alicization Lycoris,,no_match,,,,0,0
1009560,The Tenants,,no_match,,,,0,0
1012790,Into the Radius VR,,no_match,,,,0,0
1013320,Firestone: Online Idle RPG,,no_match,,,,0,0
1016790,West of Dead,,no_match,,,,0,0
1016800,Chernobylite Complete Edition,,no_match,,,,0,0
1016950,Blood Bowl 3,1016950_Blood Bowl 3.txt,existing,,,,16240,2804
1020790,NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,,no_match,,,,0,0
1022310,Warhammer Underworlds - Shadespire Edition,,no_match,,,,0,0
1022980,Ostranauts,,no_match,,,,0,0
1028310,BOOK OF HOURS,,no_match,,,,0,0
1029550,Torque Drift,,no_match,,,,0,0
1029690,Sniper Elite 5,1029690_Sniper Elite 5.txt,existing,,,,6942,1097
1029780,Going Medieval,1029780_Going Medieval.txt,existing,,,,2905,423
1030210,Torchlight III,1030210_Torchlight III.txt,existing,,,,7216,1152
1030830,Mafia II: Definitive Edition,1030830_Mafia II - Definitive Edition.txt,existing,,,,22957,3836
1030840,Mafia: Definitive Edition,1030840_Mafia - Definitive Edition.txt,existing,,,,13513,2181
1034140,Subverse,1034140_Subverse.txt,existing,,,,2909,475
1035120,Lust from Beyond,1035120_Lust from Beyond.txt,existing,,,,3393,551
1036240,Definitely Not Fried Chicken,,no_match,,,,0,0
1036890,Shadow Warrior 3: Definitive Edition,,no_match,,,,0,0
1037020,ScourgeBringer,,no_match,,,,0,0
1038250,DIRT 5,,no_match,,,,0,0
1040070,Merchant of the Skies,1040070_Merchant of the Skies.txt,existing,,,,2263,372
1040200,Crime Scene Cleaner,,no_match,,,,0,0
1040420,Dreamscaper,,no_match,,,,0,0
1041720,Kingdoms of Amalur: Re-Reckoning,1041720_Kingdoms of Amalur - Re-Reckoning.txt,existing,,,,28874,4610
1041920,If Found...,1041920_If Found.txt,existing,,,,12886,2167
1042490,Call of the Sea,1042490_Call of the Sea.txt,existing,,,,7518,1308
1043260,Gladiator Guild Manager,,no_match,,,,0,0
1043810,Tactical Breach Wizards,1043810_Tactical Breach Wizards.txt,existing,,,,9697,1561
1044720,Farthest Frontier,,no_match,,,,0,0
1045720,The Coma 2: Vicious Sisters,1045720_The Coma 2 - Vicious Sisters.txt,existing,,,,2027,339
1049410,Superliminal,1049410_Superliminal.txt,existing,,,,9684,1602
1049590,Eternal Return,1049590_Eternal Return.txt,existing,,,,2272,370
1049890,Little Witch Nobeta,1049890_Little Witch Nobeta.txt,existing,,,,2756,440
1051690,Nightmare Reaper,,no_match,,,,0,0
1054490,Wingspan,1054490_Wingspan.txt,existing,,,,15600,2435
1054510,Survivalist: Invisible Strain,,no_match,,,,0,0
1056640,Phantasy Star Online 2 New Genesis,1056640_Phantasy Star Online 2 New Genesis.txt,existing,,,,23356,3839
1057090,Ori and the Will of the Wisps,1057090_Ori and the Will of the Wisps.txt,existing,,,,18539,3143
1057750,The Suicide of Rachel Foster,1057750_The Suicide of Rachel Foster.txt,existing,,,,16750,2650
1058650,Beyond The Wire,,no_match,,,,0,0
1058830,Spin Rhythm XD,,no_match,,,,0,0
1060230,Sapiens,1060230_Sapiens.txt,existing,,,,4307,696
1061910,Metal: Hellsinger,1061910_Metal - Hellsinger.txt,existing,,,,12964,2252
1062110,UNSIGHTED,1062110_UNSIGHTED.txt,existing,,,,10296,1605
1062520,Dinkum,1062520_Dinkum.txt,existing,,,,5117,808
1062810,Inkbound,1062810_Inkbound.txt,existing,,,,1665,267
1063420,Void Crew,1063420_Void Crew.txt,existing,,,,4929,818
1063660,Bendy and the Dark Revival,1063660_Bendy and the Dark Revival.txt,existing,,,,21933,3752
1063730,New World: Aeternum,1063730_New World - Aeternum.txt,existing,,,,10770,1750
1065310,Evil West,1065310_Evil West.txt,existing,,,,6287,999
1066890,Automobilista 2,1066890_Automobilista 2.txt,existing,,,,2323,370
1067540,Röki,1067540_Röki.txt,existing,,,,12911,2232
1069160,SKALD: Against the Black Priory,,no_match,,,,0,0
1069530,Narita Boy,1069530_Narita Boy.txt,existing,,,,3333,547
1069640,This Land Is My Land,1069640_This Land Is My Land.txt,existing,,,,2291,369
1069650,Ultimate Admiral: Age of Sail,,no_match,,,,0,0
1069690,Rogue Lords,,no_match,,,,0,0
1071870,Biped,,no_match,,,,0,0
1072040,Panzer Corps 2,1072040_Panzer Corps 2.txt,existing,,,,2493,404
1073910,Before We Leave,1073910_Before We Leave.txt,existing,,,,2073,351
1075740,Banners of Ruin,,no_match,,,,0,0
1076200,Roguebook,1076200_Roguebook.txt,existing,,,,2559,420
1082430,Before Your Eyes,1082430_Before Your Eyes.txt,existing,,,,10457,1746
1082680,The Walking Dead Onslaught,1082680_The Walking Dead Onslaught.txt,existing,,,,1030,165
1083880,Princess & Conquest,,no_match,,,,0,0
1084160,Jagged Alliance 3,1084160_Jagged Alliance 3.txt,existing,,,,5661,898
1084600,My Time at Sandrock,1084600_My Time at Sandrock.txt,existing,,,,11397,1909
1084640,Chicken Police - Paint it RED!,1084640_Chicken Police - Paint it RED!.txt,existing,,,,4823,765
