appid,game_name,filename,status,source_title,source_url,match_score,extract_chars,extract_words
2484110,FINAL FANTASY VII EVER CRISIS,2484110_FINAL FANTASY VII EVER CRISIS.txt,ok,Final Fantasy VII,https://en.wikipedia.org/wiki/Final_Fantasy_VII,6.43,62226,10030
1147860,UFO 50,1147860_UFO 50.txt,existing,,,,57448,9964
1687950,Persona 5 Royal,1687950_Persona 5 Royal.txt,ok,Persona 5,https://en.wikipedia.org/wiki/Persona_5,6.50,56794,9265
1091500,Cyberpunk 2077,1091500_Cyberpunk 2077.txt,existing,,,,53684,8450
2322010,God of War Ragnarök,2322010_God of War Ragnarök.txt,ok,God of War Ragnarök,https://en.wikipedia.org/wiki/God_of_War_Ragnar%C3%B6k,8.00,49887,8267
12210,Grand Theft Auto IV: The Complete Edition,12210_Grand Theft Auto IV - The Complete Edition.txt,existing,,,,48406,7818
1113000,Persona 4 Golden,1113000_Persona 4 Golden.txt,existing,,,,48198,8006
1284210,Guild Wars 2,1284210_Guild Wars 2.txt,existing,,,,46134,7666
1151640,Horizon Zero Dawn Complete Edition,1151640_Horizon Zero Dawn Complete Edition.txt,existing,,,,46102,7198
2561580,Horizon Zero Dawn Remastered,2561580_Horizon Zero Dawn Remastered.txt,ok,Horizon Zero Dawn,https://en.wikipedia.org/wiki/Horizon_Zero_Dawn,6.53,46102,7198
1151340,Fallout 76,1151340_Fallout 76.txt,existing,,,,45248,7371
1222690,Dragon Age Inquisition,1222690_Dragon Age Inquisition.txt,existing,,,,44858,7123
1173770,FINAL FANTASY,1173770_FINAL FANTASY.txt,existing,,,,44547,7088
1173780,FINAL FANTASY II,1173780_FINAL FANTASY II.txt,existing,,,,44547,7088
1173790,FINAL FANTASY III,1173790_FINAL FANTASY III.txt,existing,,,,44547,7088
1173800,FINAL FANTASY IV,1173800_FINAL FANTASY IV.txt,existing,,,,44547,7088
1173810,FINAL FANTASY V,1173810_FINAL FANTASY V.txt,existing,,,,44547,7088
1173820,FINAL FANTASY VI,1173820_FINAL FANTASY VI.txt,existing,,,,44547,7088
2515020,FINAL FANTASY XVI,2515020_FINAL FANTASY XVI.txt,ok,Final Fantasy,https://en.wikipedia.org/wiki/Final_Fantasy,7.20,44547,7088
975370,Dwarf Fortress,975370_Dwarf Fortress.txt,ok,Dwarf Fortress,https://en.wikipedia.org/wiki/Dwarf_Fortress,8.00,42657,6962
1378990,Crash Bandicoot 4: It’s About Time,1378990_Crash Bandicoot 4 - It’s About Time.txt,ok,Crash Bandicoot 4: It's About Time,https://en.wikipedia.org/wiki/Crash_Bandicoot_4:_It%27s_About_Time,7.91,42628,6873
2208920,Assassin's Creed Valhalla,2208920_Assassin's Creed Valhalla.txt,ok,Assassin's Creed Valhalla,https://en.wikipedia.org/wiki/Assassin%27s_Creed_Valhalla,8.00,42593,6853
1809700,Persona 3 Portable,1809700_Persona 3 Portable.txt,ok,Persona 3,https://en.wikipedia.org/wiki/Persona_3,6.00,42247,6992
2131630,METAL GEAR SOLID - Master Collection Version,2131630_METAL GEAR SOLID - Master Collection Version.txt,ok,Metal Gear Solid (video game),https://en.wikipedia.org/wiki/Metal_Gear_Solid_(video_game),6.30,41175,6729
1659040,HITMAN World of Assassination,1659040_HITMAN World of Assassination.txt,ok,Hitman 3,https://en.wikipedia.org/wiki/Hitman_3,4.27,41000,6655
1237970,Titanfall 2,1237970_Titanfall 2.txt,existing,,,,40825,6499
2000950,Call of Duty: Modern Warfare,2000950_Call of Duty - Modern Warfare.txt,ok,Call of Duty,https://en.wikipedia.org/wiki/Call_of_Duty,5.69,40818,6889
1262540,Need for Speed,1262540_Need for Speed.txt,existing,,,,40535,6707
2668510,Red Dead Redemption,2668510_Red Dead Redemption.txt,ok,Red Dead Redemption,https://en.wikipedia.org/wiki/Red_Dead_Redemption,8.00,40269,6250
2653790,The Exit 8,2653790_The Exit 8.txt,ok,The Exit 8,https://en.wikipedia.org/wiki/The_Exit_8,8.00,39853,6701
1086940,Baldur's Gate 3,1086940_Baldur's Gate 3.txt,existing,,,,39227,6115
1238840,Battlefield 1,1238840_Battlefield 1.txt,existing,,,,37354,6164
1498570,THE KING OF FIGHTERS XV,1498570_THE KING OF FIGHTERS XV.txt,ok,The King of Fighters,https://en.wikipedia.org/wiki/The_King_of_Fighters,7.58,36677,6204
2050650,Resident Evil 4,2050650_Resident Evil 4.txt,ok,Resident Evil 4,https://en.wikipedia.org/wiki/Resident_Evil_4,8.00,36603,6053
1196590,Resident Evil Village,1196590_Resident Evil Village.txt,existing,,,,36361,5917
1236300,Resident Evil Re:Verse,1236300_Resident Evil Re -Verse.txt,existing,,,,36361,5917
1985690,The Looker,1985690_The Looker.txt,ok,The Witness (2016 video game),https://en.wikipedia.org/wiki/The_Witness_(2016_video_game),3.95,36271,6049
1238860,Battlefield 4,1238860_Battlefield 4.txt,existing,,,,35677,5809
2012840,Portal with RTX,2012840_Portal with RTX.txt,ok,Portal (video game),https://en.wikipedia.org/wiki/Portal_(video_game),6.38,35618,5844
1778820,TEKKEN 8,1778820_TEKKEN 8.txt,ok,Tekken,https://en.wikipedia.org/wiki/Tekken,7.14,35606,5904
1401590,Disney Dreamlight Valley,1401590_Disney Dreamlight Valley.txt,ok,Disney Dreamlight Valley,https://en.wikipedia.org/wiki/Disney_Dreamlight_Valley,8.00,35482,5784
