epoch	learning_rate	train_mse	test_mse	test_mae
1	0.0003	1.133784684	0.7102147844	0.686531708
2	0.0002999920496	1.040991473	0.7343148549	0.7088069757
3	0.0002999681991	1.009762459	0.6988693767	0.672131549
4	0.0002999284513	0.9930324284	0.6655718274	0.6564371427
5	0.0002998728104	0.8906070021	0.5638040966	0.6049934705
6	0.0002998012825	0.7884569663	0.5729187489	0.5919628673
7	0.0002997138756	0.7207025145	0.5836757024	0.620392598
8	0.0002996105992	0.7200548843	0.5726429515	0.5868089093
9	0.0002994914646	0.7213720764	0.5521751828	0.5934800625
10	0.0002993564849	0.7092977116	0.5554942184	0.5975046211
11	0.0002992056748	0.6912797579	0.5475235303	0.5795066304
12	0.000299039051	0.6824246179	0.5544291178	0.6052069823
13	0.0002988566317	0.7127917953	0.5432532734	0.5803938336
14	0.0002986584369	0.700464122	0.5665950457	0.5936743895
15	0.0002984444883	0.6978717178	0.6021743033	0.5942383501
16	0.0002982148094	0.6975070667	0.5434855355	0.5882891549
17	0.0002979694254	0.6844335972	0.5241612222	0.5760698477
18	0.0002977083632	0.6596564653	0.5431894302	0.5904584461
19	0.0002974316514	0.6872528053	0.5473436885	0.5899642203
20	0.0002971393203	0.7246678707	0.5619052569	0.5963964144
21	0.0002968314021	0.6687764935	0.5320958985	0.5882499165
22	0.0002965079305	0.6346934196	0.5207109928	0.5856480334
23	0.0002961689409	0.6157146942	0.5087018755	0.5580710093
24	0.0002958144706	0.5936790849	0.5637704319	0.5916671223
25	0.0002954445584	0.7315713215	0.5520922767	0.602813583
26	0.0002950592448	0.6336548241	0.5218079461	0.5709312651
27	0.0002946585722	0.5883093069	0.487833945	0.5389266385
28	0.0002942425844	0.5813421929	0.4824142138	0.5506560167
29	0.0002938113271	0.543718223	0.4881966644	0.5490029441
30	0.0002933648476	0.5386877695	0.474807575	0.5463892831
31	0.0002929031949	0.5268911691	0.4679235352	0.5456543075
32	0.0002924264195	0.502184779	0.4742046197	0.5505829917
33	0.0002919345737	0.5010596158	0.4847442733	0.5562351863
34	0.0002914277115	0.4689599608	0.4599552684	0.5536276923
35	0.0002909058885	0.4533553682	0.4929313978	0.5535939587
36	0.0002903691618	0.4396256427	0.4690003501	0.5392919646
37	0.0002898175905	0.4234192355	0.4740343756	0.5398010572
38	0.0002892512348	0.3983991818	0.4828901821	0.5411473062
39	0.000288670157	0.4104630268	0.4725440025	0.527354251
40	0.0002880744207	0.415445719	0.4818695969	0.5421360546
41	0.0002874640914	0.3945295184	0.4295495431	0.5197819074
42	0.0002868392358	0.3582439179	0.4582745446	0.5229794237
43	0.0002861999226	0.3515061364	0.4776872264	0.5366913901
44	0.0002855462219	0.35778013	0.5219405174	0.5547044701
45	0.0002848782052	0.3421282252	0.4484900157	0.5170223872
46	0.000284195946	0.3187256831	0.4338382483	0.5163761245
47	0.000283499519	0.3149128422	0.4224052032	0.5103512128
48	0.0002827890005	0.30571657	0.4278438197	0.511490896
49	0.0002820644686	0.2940594809	0.4108679374	0.5071244929
50	0.0002813260026	0.2772599175	0.4062030103	0.4968184577
51	0.0002805736835	0.2667531476	0.4324406332	0.5063424746
52	0.0002798075939	0.2617892062	0.436563762	0.5095474879
53	0.0002790278177	0.2431313111	0.3999091917	0.4923846775
54	0.0002782344405	0.2386851539	0.4827697277	0.5227478981
55	0.0002774275492	0.2762082432	0.408395754	0.4895835029
56	0.0002766072324	0.2468350449	0.4123472134	0.4873798264
57	0.0002757735799	0.2276896405	0.4413783444	0.5069153627
58	0.0002749266833	0.2400799334	0.4495139016	0.5031217893
59	0.0002740666353	0.2460243963	0.4768504567	0.5299524996
60	0.0002731935304	0.2364216301	0.4564132902	0.510369481
61	0.0002723074642	0.2221311004	0.4294418282	0.5007454501
62	0.0002714085339	0.2069978024	0.4038156695	0.4827778392
63	0.0002704968381	0.1952885984	0.3832676172	0.4789061122
64	0.0002695724768	0.1861330949	0.3755516476	0.4755551126
65	0.0002686355513	0.1879643485	0.4028189394	0.4770508819
66	0.0002676861644	0.1757501932	0.4063119994	0.4835280736
67	0.0002667244202	0.189390306	0.4298507426	0.4944239722
68	0.0002657504242	0.211652479	0.4341656791	0.5092568662
69	0.0002647642831	0.2026808044	0.408904367	0.4958273782
70	0.0002637661051	0.2311998076	0.3971079508	0.4944501135
71	0.0002627559997	0.1991670825	0.3680498282	0.4827351093
72	0.0002617340776	0.185762137	0.3793725755	0.4740582201
73	0.000260700451	0.1708650251	0.3573044883	0.4646883435
74	0.0002596552331	0.1687922787	0.368853826	0.4633655972
75	0.0002585985385	0.1610650998	0.3777964274	0.4757740974
76	0.0002575304833	0.1388929787	0.4015830808	0.4935315238
77	0.0002564511844	0.1429538818	0.3987291733	0.4867028925
78	0.0002553607602	0.172399105	0.3973416487	0.4861698786
79	0.0002542593304	0.1509953211	0.4078007751	0.490791644
80	0.0002531470156	0.1730417693	0.4183631023	0.5039592955
81	0.0002520239379	0.1445159619	0.41419598	0.4930264526
82	0.0002508902205	0.1339060261	0.4120549202	0.4999071227
83	0.0002497459876	0.1393928322	0.4115727584	0.489196735
84	0.0002485913647	0.1970974992	0.4266790602	0.5073488024
85	0.0002474264785	0.1873453587	0.44932287	0.5295560996
86	0.0002462514567	0.160320097	0.4377943834	0.5099041621
87	0.0002450664281	0.1429344844	0.4224736187	0.5089140256
88	0.0002438715228	0.1258790278	0.3984164927	0.4931389703
89	0.0002426668717	0.1191859394	0.4583046118	0.5223750697
90	0.0002414526069	0.1338440691	0.4128883812	0.4907615768
91	0.0002402288616	0.1150519228	0.4317961348	0.5129965093
92	0.00023899577	0.1211196344	0.4069385846	0.498927074
93	0.0002377534673	0.1149372048	0.423676104	0.5023007605
94	0.0002365020898	0.09966678541	0.424920241	0.5010787964
